Origin,cancelledTotal,cancelledCarrier,cancelledWeather,cancelledNAS,cancelledSecurity
ORD,15050,4161,4896,5993,0
DFW,7272,3346,3462,462,2
ATL,5830,2056,2498,1274,2
LGA,5753,1993,1833,1927,0
EWR,4511,732,1663,2116,0
BOS,3655,1429,1353,873,0
IAH,3261,402,2605,254,0
JFK,3196,685,2051,460,0
LAX,2838,2004,615,218,1
SFO,2790,1480,547,763,0
DCA,2735,1224,798,713,0
DEN,2725,1486,1098,141,0
DTW,2583,1216,851,516,0
IAD,2077,1235,463,379,0
LAS,2057,1219,687,151,0
CLT,1986,1049,531,406,0
PHL,1969,892,548,529,0
PHX,1875,1304,403,168,0
CVG,1853,548,962,343,0
MSP,1729,766,584,379,0
HOU,1584,576,984,24,0
MEM,1516,808,436,272,0
CLE,1359,317,777,265,0
STL,1316,559,556,201,0
RDU,1253,430,512,311,0
SAN,1251,723,418,110,0
MDW,1246,379,831,36,0
MKE,1200,226,692,282,0
SEA,1142,597,488,57,0
SLC,1090,509,547,34,0
MCO,1083,537,483,63,0
BWI,1002,442,442,118,0
DAL,975,456,471,48,0
OAK,965,774,156,34,1
MCI,841,374,325,142,0
MSY,814,200,570,44,0
SJC,806,573,182,51,0
BNA,791,282,310,199,0
MIA,787,443,260,83,1
CMH,767,222,385,160,0
PIT,759,347,250,162,0
IND,749,338,240,171,0
AUS,732,390,294,48,0
TPA,727,322,364,41,0
SNA,726,463,150,113,0
PDX,652,269,353,30,0
MSN,634,134,300,200,0
BUF,611,155,334,122,0
BDL,587,235,236,116,0
DSM,559,218,212,129,0
SAT,542,299,212,31,0
FLL,542,231,275,36,0
BUR,535,409,86,39,1
SMF,507,275,179,53,0
RIC,496,156,235,105,0
JAX,495,183,270,42,0
ASE,486,58,408,20,0
OMA,476,164,176,136,0
GRR,471,158,209,104,0
XNA,470,216,132,122,0
HNL,463,442,19,2,0
CID,460,123,214,123,0
GSO,455,178,175,102,0
ICT,452,192,147,113,0
ROC,432,116,224,92,0
SGF,428,152,177,99,0
GSP,418,148,149,121,0
CHS,415,157,152,106,0
SDF,405,125,161,119,0
