MonthOfYear,CancelledPercentage,CancellationType
Dec,0.00515,NAS
Dec,0.00921,Carrier
Dec,0.01841,Weather
Nov,0.00214,NAS
Nov,0.00488,Carrier
Nov,0.00217,Weather
Oct,0.00105,NAS
Oct,0.00109,Weather
Oct,0.00369,Carrier
Sep,0.01115,Weather
Sep,0.00425,Carrier
Sep,0.00219,NAS
Aug,0.00655,Weather
Aug,0.00389,NAS
Aug,0.00606,Carrier
Jul,0.00430,NAS
Jul,0.00859,Carrier
Jul,0.00422,Weather
Jun,0.00564,Weather
Jun,0.00532,NAS
Jun,0.00698,Carrier
May,0.00239,Weather
May,0.00265,NAS
May,0.00518,Carrier
Apr,0.00240,NAS
Apr,0.00238,Weather
Apr,0.01206,Carrier
Mar,0.01217,Weather
Mar,0.00445,NAS
Mar,0.00989,Carrier
Feb,0.01678,Weather
Feb,0.01057,Carrier
Feb,0.00708,NAS
Jan,0.00719,NAS
Jan,0.01085,Carrier
Jan,0.01171,Weather
