Origin,WeekOfYear,cancelledTotal,cancelledCarrier,cancelledWeather,cancelledNAS,cancelledSecurity
ORD,5,1407,168,830,409,0
ORD,4,1285,195,296,794,0
DFW,14,1124,1088,33,3,0
IAH,36,1121,7,1097,17,0
ORD,51,915,83,489,343,0
ATL,2,768,49,699,20,0
ORD,6,731,149,181,401,0
ORD,22,697,80,283,334,0
ORD,14,676,506,34,136,0
DFW,9,667,46,606,15,0
DFW,11,649,64,574,9,2
ORD,11,598,105,310,183,0
ORD,50,568,71,362,135,0
ORD,8,523,89,116,318,0
ORD,31,491,75,227,189,0
ORD,3,432,133,31,268,0
ATL,27,415,116,124,175,0
MDW,5,406,30,376,0,0
HOU,36,384,9,375,0,0
HOU,37,382,14,368,0,0
ORD,1,371,121,104,146,0
CLE,9,362,16,316,30,0
EWR,7,361,20,302,39,0
MSY,35,354,14,332,8,0
ORD,23,348,77,106,165,0
LAS,50,343,47,285,11,0
ORD,12,341,154,59,128,0
ORD,9,339,125,129,85,0
ORD,13,327,50,26,251,0
ORD,16,325,68,138,119,0
ATL,9,313,66,172,75,0
JFK,29,304,36,226,42,0
LGA,29,294,60,87,147,0
DFW,3,293,68,219,6,0
ORD,36,291,30,135,126,0
EWR,50,291,9,240,42,0
ORD,17,284,60,95,129,0
ORD,2,282,123,32,127,0
ORD,0,280,92,110,78,0
SEA,51,278,19,245,14,0
LGA,7,277,38,200,39,0
ORD,7,272,117,123,32,0
IAH,11,267,17,229,21,0
LGA,6,266,45,107,114,0
ATL,3,256,37,215,4,0
EWR,29,253,38,76,139,0
EWR,9,253,40,112,101,0
EWR,6,248,29,117,102,0
JFK,32,246,20,184,42,0
ORD,27,245,65,88,92,0
PDX,51,243,20,209,14,0
SFO,0,240,65,78,97,0
DFW,50,228,43,183,2,0
DFW,6,228,45,167,16,0
DFW,21,227,27,164,36,0
ORD,29,226,127,46,53,0
LGA,9,225,66,99,60,0
ATL,51,222,59,88,75,0
LGA,32,222,33,66,123,0
BOS,29,221,67,82,72,0
ORD,48,215,30,67,118,0
CVG,9,206,28,166,12,0
BOS,50,202,32,133,37,0
DTW,5,201,72,99,30,0
DFW,24,201,37,155,9,0
LGA,24,201,43,59,99,0
BOS,2,201,51,148,2,0
LGA,50,201,29,132,40,0
